[ 2025-10-03 23:25:56,920 ] 148 numexpr.utils - INFO - Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2025-10-03 23:25:56,920 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-10-03 23:26:07,343 ] 20 root - INFO - Initiate the data ingestion
[ 2025-10-03 23:26:10,720 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-03 23:26:10,720 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-03 23:26:10,720 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-03 23:26:10,792 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-03 23:26:10,794 ] 22 root - INFO - Data Initiation Completed
[ 2025-10-03 23:26:10,796 ] 27 root - INFO - Initiate the data Validation
[ 2025-10-03 23:26:10,877 ] 32 root - INFO - Required number of columns:2
[ 2025-10-03 23:26:10,877 ] 33 root - INFO - Data frame has columns:31
[ 2025-10-03 23:26:10,877 ] 32 root - INFO - Required number of columns:2
[ 2025-10-03 23:26:10,877 ] 33 root - INFO - Data frame has columns:31
[ 2025-10-03 23:26:11,078 ] 29 root - INFO - data Validation Completed
