[ 2025-10-04 16:45:04,238 ] 148 numexpr.utils - INFO - Note: NumExpr detected 12 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 8.
[ 2025-10-04 16:45:04,238 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-10-04 16:45:33,844 ] 20 root - INFO - Initiate the data ingestion
[ 2025-10-04 16:45:39,994 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-10-04 16:45:39,994 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-04 16:45:39,994 ] 75 root - INFO - Exporting train and test file path.
[ 2025-10-04 16:45:40,303 ] 84 root - INFO - Exported train and test file path.
[ 2025-10-04 16:45:40,306 ] 22 root - INFO - Data Initiation Completed
[ 2025-10-04 16:45:40,484 ] 29 root - INFO - Initiate the data Validation
[ 2025-10-04 16:45:40,739 ] 33 root - INFO - Required number of columns:2
[ 2025-10-04 16:45:40,739 ] 34 root - INFO - Data frame has columns:31
[ 2025-10-04 16:45:40,739 ] 33 root - INFO - Required number of columns:2
[ 2025-10-04 16:45:40,739 ] 34 root - INFO - Data frame has columns:31
[ 2025-10-04 16:45:41,824 ] 31 root - INFO - data Validation Completed
[ 2025-10-04 16:45:41,824 ] 37 root - INFO - data Transformation started
[ 2025-10-04 16:45:41,824 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-04 16:45:41,824 ] 66 root - INFO - Starting data transformation
[ 2025-10-04 16:45:41,949 ] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-10-04 16:45:41,949 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-04 16:45:42,010 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-04 16:45:42,023 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-04 16:45:42,023 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-04 16:45:42,031 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-04 16:45:42,031 ] 41 root - INFO - data Transformation completed
